latent_dim,lstm_hidden,lstm_layers,dropout,lr,batch_size,threshold_method,fold,accuracy,precision,recall,dr,f1,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,accuracy_pct,precision_pct,recall_pct,dr_pct,f1_pct,mre,recon_var,threshold,epochs,training_loss_curve_stability,train_recon_last,train_kl_last,train_total_last,val_recon_last,val_kl_last,val_total_last
16,64,1,0.2,0.001,128,youden,0,0.2685,0.6666666666666666,0.0020484807101399795,0.0020484807101399795,0.0040844111640510735,0.0028011204481792704,0.9979515192898598,0.4530892019946706,0.7164344236825604,2136.0,6.0,5846.0,12.0,26.85,66.66666666666666,0.20484807101399793,0.20484807101399793,0.40844111640510733,649.6907958984375,6299160.5,12008.646484375,35.0,6.8238719900555616,863.264404296875,16.246700286865234,879.5110473632812,684.0659790039062,15.552385330200195,699.6183471679688
16,64,1,0.2,0.001,128,youden,1,0.268125,0.6666666666666666,0.0006829434864264982,0.0006829434864264982,0.0013644891693651738,0.0009332711152589823,0.9993170565135734,0.42442898092833303,0.6952646231683692,2141.0,2.0,5853.0,4.0,26.8125,66.66666666666666,0.06829434864264983,0.06829434864264983,0.13644891693651737,708.9268798828125,24032936.0,34823.9765625,27.0,18.93128287821341,861.8998413085938,12.794031143188477,874.6939086914062,859.7379760742188,13.570892333984375,873.3089599609375
16,64,1,0.2,0.001,128,youden,2,0.27153394174271783,0.6086956521739131,0.014341813214956462,0.014341813214956462,0.028023352793950018,0.025210084033613436,0.9856581867850434,0.44100896291588176,0.7000879403278893,2088.0,54.0,5773.0,84.0,27.15339417427178,60.86956521739131,1.4341813214956463,1.4341813214956463,2.8023352793950016,737.423828125,58542596.0,3259.921142578125,35.0,5.688386070135231,723.6911010742188,14.60075855255127,738.2918090820312,652.49853515625,15.157829284667969,667.6563720703125
