trial,lstm_units,attention_heads,dropout_rate,latent_dim,learning_rate,batch_size,num_features_to_select,qubits,subsample_size,time_steps,n_features_selected,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_mse,epochs_trained
0,256,2,0.2,64,0.001,32,20,2,20000,10,20,0.8314981460571289,0.8155436957971981,0.8396997580253744,0.8155436957971981,0.8065669183844514,0.02349191904067993,16
1,128,8,0.2,64,0.002,128,20,2,20000,10,20,0.7270603775978088,0.718145430286858,0.7428263636785096,0.718145430286858,0.6868343903064642,0.030337145552039146,18
2,256,4,0.2,16,0.0005,32,20,2,20000,10,20,0.8038038015365601,0.78552368245497,0.7937247671435192,0.78552368245497,0.7785285141946462,0.026478931307792664,18
3,256,8,0.2,64,0.0005,128,20,2,20000,10,20,0.4688021242618561,0.4919946631087392,0.48601304940392104,0.4919946631087392,0.457531372590727,0.0538954883813858,18
4,128,4,0.4,16,0.0005,128,20,2,20000,10,20,0.18651984632015228,0.1867911941294196,0.20548085126844323,0.1867911941294196,0.12936506543096496,0.07308471947908401,18
