heterogeneity,dirichlet_alpha,accuracy,precision,recall,f1_score,auc_attack,time_sec
iid,0.1,0.90057504792066,0.9008224788854168,0.90057504792066,0.9005598172388736,0.9493370700672334,2056.2348585128784
non_iid_label,0.1,0.809150762563547,0.8154508795755162,0.809150762563547,0.8081916190895869,0.8873184280713452,3193.897547483444
non_iid_quantity,0.1,0.910159179931661,0.9114655702786512,0.910159179931661,0.9100880466391924,0.9631774462410403,3923.6124215126038
dirichlet,0.1,0.8377364780398366,0.8381631968332777,0.8377364780398366,0.8376855705307112,0.9010833194421293,4888.132860898972
dirichlet,0.3,0.8908242353529461,0.8971311546170818,0.8908242353529461,0.8903896973742411,0.9455140856809467,5972.5486261844635
dirichlet,0.5,0.9056588049004084,0.906816574008693,0.9056588049004084,0.9055918690181007,0.9527712813246653,8950.756248950958
dirichlet,1.0,0.9049920826735561,0.9056744551088393,0.9049920826735561,0.9049522946852007,0.9571400789020392,17499.090968370438
