latent_dim,lstm_hidden,lstm_layers,dropout,lr,batch_size,threshold_method,fold,accuracy,precision,recall,dr,f1,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,accuracy_pct,precision_pct,recall_pct,dr_pct,f1_pct,mre,recon_var,threshold,epochs,training_loss_curve_stability,train_recon_last,train_kl_last,train_total_last,val_recon_last,val_kl_last,val_total_last
16,64,2,0.0,0.001,128,mean_std_2,0,0.268125,0.6153846153846154,0.0013656538067599864,0.0013656538067599864,0.0027252597513156293,0.002334267040149392,0.9986343461932399,0.4200561754233957,0.6936941641523167,2137.0,5.0,5850.0,8.0,26.8125,61.53846153846154,0.13656538067599863,0.13656538067599863,0.27252597513156296,708.74560546875,16695780.0,17264.455078125,25.0,19.142817631688473,901.783203125,12.921031951904297,914.7042236328125,782.2354125976562,7.558239936828613,789.7935791015625
16,64,2,0.0,0.001,128,mean_std_2,1,0.268375,0.6666666666666666,0.0013658869728529965,0.0013658869728529965,0.002726188447772372,0.0018665422305179646,0.9986341130271469,0.42850552891829863,0.6963183570884934,2139.0,4.0,5849.0,8.0,26.8375,66.66666666666666,0.13658869728529965,0.13658869728529965,0.2726188447772372,691.6041259765625,31017988.0,17753.943359375,26.0,16.060590175609732,881.4070434570312,6.9435601234436035,888.3507690429688,893.1183471679688,7.174585819244385,900.2929077148438
16,64,2,0.0,0.001,128,mean_std_2,2,0.2724090511313914,0.7228915662650602,0.010244152296397474,0.010244152296397474,0.020202020201992646,0.010737628384687203,0.9897558477036024,0.4423651652909755,0.704768551010758,2119.0,23.0,5797.0,60.0,27.240905113139142,72.28915662650603,1.0244152296397473,1.0244152296397473,2.0202020201992648,714.91650390625,40689828.0,6224.66259765625,35.0,18.989787081994077,699.1339111328125,10.437389373779297,709.5712280273438,823.5789794921875,14.396692276000977,837.9757080078125
