trial,lstm_units,attention_heads,dropout_rate,latent_dim,learning_rate,batch_size,num_features_to_select,qubits,subsample_size,time_steps,n_features_selected,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_mse,epochs_trained
0,256,2,0.2,64,0.001,32,20,2,30000,10,20,0.660293459892273,0.6677039342076017,0.6436145394534821,0.6677039342076017,0.6278571519752753,0.03107430785894394,25
1,128,8,0.2,64,0.002,128,20,2,30000,10,20,0.6209426522254944,0.6236941542565014,0.6383602385856522,0.6236941542565014,0.5787799172242831,0.035901378840208054,25
2,256,4,0.2,16,0.0005,32,20,2,30000,10,20,0.6589595079421997,0.6659257612802845,0.6888391872860921,0.6659257612802845,0.6488971079974106,0.03233887627720833,25
3,256,8,0.2,64,0.0005,128,20,2,30000,10,20,0.5302356481552124,0.5323405201155812,0.5436258318130843,0.5323405201155812,0.5272165734666293,0.046781692653894424,25
4,128,4,0.4,16,0.0005,128,20,2,30000,10,20,0.31413960456848145,0.3140697932873972,0.34728888385386814,0.3140697932873972,0.2803384928608094,0.0633978471159935,25
5,192,4,0.3,16,0.001,32,20,2,30000,10,20,0.641396164894104,0.6421426983774172,0.6108921862403307,0.6421426983774172,0.5918811805114792,0.034042838960886,25
6,192,2,0.4,32,0.002,64,20,2,30000,10,20,0.5922632217407227,0.5923538564125361,0.5947063259997329,0.5923538564125361,0.5565802407490794,0.040580034255981445,25
7,256,4,0.2,32,0.0005,128,20,2,30000,10,20,0.5355713367462158,0.53945321182485,0.5552083649512052,0.53945321182485,0.5210602619054445,0.04622034728527069,25
