latent_dim,lstm_hidden,lstm_layers,dropout,lr,batch_size,threshold_method,fold,accuracy,precision,recall,dr,f1,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,accuracy_pct,precision_pct,recall_pct,dr_pct,f1_pct,mre,recon_var,threshold,epochs,training_loss_curve_stability,train_recon_last,train_kl_last,train_total_last,val_recon_last,val_kl_last,val_total_last
64,64,2,0.4,0.0001,32,percentile_95,0,0.47874645774295715,0.02962962962962963,0.0013333333333333333,0.0013333333333333333,0.0025518341306990837,0.043681227075691886,0.9986666666666664,0.13707280204512615,0.3265223841276607,2868.0,131.0,2996.0,4.0,47.874645774295715,2.9629629629629632,0.13333333333333333,0.13333333333333333,0.2551834130699084,558.5130615234375,1771503.625,2314.2265625,48.0,6.254779379787041,1036.37353515625,20.50385856628418,1056.8778076171875,1039.931396484375,21.166065216064453,1061.097412109375
64,64,2,0.4,0.0001,32,percentile_95,1,0.4688229409803268,0.04854368932038835,0.0033333333333333335,0.0033333333333333335,0.006238303181414371,0.06537691794529685,0.9966666666666664,0.12948243273293308,0.32518678196318274,2802.0,196.0,2990.0,10.0,46.88229409803268,4.854368932038835,0.33333333333333337,0.33333333333333337,0.6238303181414371,667.6994018554688,8251277.5,2154.654052734375,50.0,4.329785726294291,973.7348022460938,21.53151512145996,995.266357421875,1014.0742797851562,22.094467163085938,1036.168701171875
64,64,2,0.4,0.0001,32,percentile_95,2,0.47582527509169725,0.06626506024096386,0.0036666666666666666,0.0036666666666666666,0.006948831332812826,0.05170113408939291,0.9963333333333331,0.13781054036024015,0.3276600992678766,2843.0,155.0,2989.0,11.0,47.58252750916972,6.626506024096386,0.36666666666666664,0.36666666666666664,0.6948831332812826,652.8145751953125,8676336.0,2147.177001953125,50.0,6.4170818569821515,980.2317504882812,20.60158920288086,1000.833251953125,1080.713623046875,21.722558975219727,1102.4364013671875
64,64,2,0.4,0.0001,32,percentile_95,3,0.4779926642214071,0.0718954248366013,0.0036666666666666666,0.0036666666666666666,0.006977481763307596,0.04736490993995996,0.9963333333333331,0.13290471425394706,0.3261545226829595,2856.0,142.0,2989.0,11.0,47.79926642214071,7.18954248366013,0.36666666666666664,0.36666666666666664,0.6977481763307596,670.3968505859375,10965982.0,2356.8974609375,50.0,6.410838229624908,1012.4501953125,20.014623641967773,1032.4647216796875,945.616455078125,21.413148880004883,967.0296020507812
64,64,2,0.4,0.0001,32,percentile_95,4,0.47932644214738246,0.09271523178807947,0.004666666666666667,0.004666666666666667,0.008886067914856386,0.045697131420947286,0.9953333333333331,0.1450493662441628,0.32927665159779596,2861.0,137.0,2986.0,14.0,47.93264421473825,9.271523178807946,0.46666666666666673,0.46666666666666673,0.8886067914856386,608.309326171875,5718844.5,2317.780517578125,50.0,5.904570707309317,1007.1381225585938,22.345659255981445,1029.4832763671875,1045.409423828125,23.462472915649414,1068.8719482421875
