trial,lstm_units,attention_heads,dropout_rate,latent_dim,learning_rate,batch_size,num_features_to_select,qubits,feature_method,subsample_size,time_steps,n_features_selected,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_mse,epochs_trained
0,256,2,0.2,64,0.001,32,20,2,variance,20000,10,20,0.7698465585708618,0.7492497499166388,0.7652047517847133,0.7492497499166388,0.7454057114197457,0.16530898213386536,8
1,128,8,0.2,64,0.002,128,20,2,variance,20000,10,20,0.7691794633865356,0.7449149716572191,0.7727228579672568,0.7449149716572191,0.7382226142899025,0.16808992624282837,12
2,256,4,0.2,16,0.0005,32,20,2,variance,20000,10,20,0.7731820940971375,0.7472490830276759,0.7807283003807857,0.7472490830276759,0.7394607889524276,0.16618716716766357,11
3,256,8,0.2,64,0.0005,128,20,2,variance,20000,10,20,0.6977985501289368,0.6755585195065021,0.687920932094236,0.6755585195065021,0.6701073921847948,0.20858997106552124,12
4,128,4,0.4,16,0.0005,128,20,2,variance,20000,10,20,0.589392900466919,0.5738579526508836,0.5750046511364114,0.5738579526508836,0.5722565871241884,0.24504351615905762,12
