latent_dim,lstm_hidden,lstm_layers,dropout,lr,batch_size,threshold_method,fold,accuracy,precision,recall,dr,f1,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,accuracy_pct,precision_pct,recall_pct,dr_pct,f1_pct,mre,recon_var,threshold,epochs,training_loss_curve_stability,train_recon_last,train_kl_last,train_total_last,val_recon_last,val_kl_last,val_total_last
16,64,2,0.0,0.0005,64,percentile_80,0,0.337125,0.6899383983572895,0.17207237965175828,0.17207237965175828,0.275447465500432,0.21148459383753493,0.8279276203482416,0.4429169699062053,0.7034779535132781,1689.0,453.0,4850.0,1008.0,33.7125,68.99383983572895,17.20723796517583,17.20723796517583,27.544746550043197,655.7384033203125,15444234.0,662.0095825195312,35.0,9.05940817783858,660.990966796875,11.982519149780273,672.9733276367188,1094.2464599609375,11.382064819335938,1105.6285400390625
16,64,2,0.0,0.0005,64,percentile_80,1,0.34,0.7122884473877852,0.16527232371521255,0.16527232371521255,0.26829268292652353,0.18245450303313104,0.8347276762847873,0.4408836804312073,0.7056779273394955,1752.0,391.0,4889.0,968.0,34.0,71.22884473877852,16.527232371521254,16.527232371521254,26.82926829265235,778.3857421875,61830896.0,711.7879638671875,35.0,18.860471979627434,776.0332641601562,10.69707202911377,786.7304077148438,752.4112548828125,11.09410285949707,763.50537109375
16,64,2,0.0,0.0005,64,percentile_80,2,0.32041505188148517,0.6562731997030438,0.1509305105002561,0.1509305105002561,0.24541921154883534,0.2161531279178337,0.8490694894997438,0.4195178042761125,0.690388163638747,1679.0,463.0,4973.0,884.0,32.04150518814852,65.62731997030437,15.093051050025611,15.093051050025611,24.541921154883532,618.76416015625,4222404.5,746.2310791015625,21.0,16.343563786526794,912.838134765625,6.495894908905029,919.333984375,678.9927368164062,6.344873905181885,685.3374633789062
