qubits,repeats,n_features_selected_mean,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mse_mean,mse_std,auc_roc_attack_mean,auc_roc_attack_std,far_benign_mean,far_benign_std,far_attack_mean,far_attack_std,md_benign_mean,md_benign_std,md_attack_mean,md_attack_std,qpso_time_mean_sec,qpso_time_std_sec,training_time_mean_sec,training_time_std_sec,total_time_mean_sec,total_time_std_sec
1,5,40.0,0.9286273856154679,0.0028376110365223154,0.9308989232175996,0.002376688850527048,0.9286273856154679,0.0028376110365223154,0.9285327065329101,0.0028618440799303667,0.05535282045602798,0.002892034088484626,0.9749251347446798,0.0038412491708911412,0.10749999999999822,0.006766954016887153,0.03523920653442182,0.0017024065919902084,0.03523920653442182,0.0017024065919902084,0.10749999999999822,0.006766954016887153,76.67924404144287,0.0,2783.846793270111,613.3890932716887,2795.5761959075926,609.9495083629732
2,5,40.0,0.9515959663305275,0.002201351065366168,0.9517360274422343,0.0021059423995962033,0.9515959663305275,0.002201351065366168,0.9515921438402831,0.002204276753423161,0.036316749453544614,0.0018673983780544304,0.9861465633161084,0.0016711025915337545,0.05659999999999906,0.005351012365275598,0.04020670111685214,0.00266554796662897,0.04020670111685214,0.00266554796662897,0.05659999999999906,0.005351012365275598,80.2743628025055,0.0,3479.8162494659423,407.52307704619363,3496.0747441768644,410.08173710171883
3,5,40.0,0.9564963746978915,0.0023689758152432706,0.9566098471001794,0.0023767602435839073,0.9564963746978915,0.0023689758152432706,0.9564936506132053,0.0023689574160832404,0.03301400020718574,0.0013278503319134776,0.9908394982497082,0.0007782522420711114,0.03639999999999939,0.004649671434030981,0.05060843473912234,0.00434622012232906,0.05060843473912234,0.00434622012232906,0.03639999999999939,0.004649671434030981,82.49143767356873,0.0,3923.47509970665,147.94439747134442,3938.7090651988983,147.63144161835305
4,5,40.0,0.9572797733144428,0.002431623116286267,0.9574050753966784,0.002510858917067496,0.9572797733144428,0.002431623116286267,0.9572769116150919,0.0024299564349072526,0.0329606719315052,0.00205696706639863,0.987246932822137,0.0006181739505704816,0.036333333333332725,0.00733901295210121,0.04910818469744876,0.005181758015016788,0.04910818469744876,0.005181758015016788,0.036333333333332725,0.00733901295210121,80.18018865585327,0.0,2216.527595424652,284.29843030160566,2221.72744345665,284.3280039851407
5,5,40.0,0.9594132844403701,0.0013668821957543646,0.9595679936886388,0.0014268830636178572,0.9594132844403701,0.0013668821957543646,0.9594098739203677,0.0013657640288246486,0.030041002482175828,0.0013516496745772468,0.9922197977440685,0.0010385393855220056,0.03196666666666613,0.004300193794082548,0.04920820136689367,0.0031394367103485324,0.04920820136689367,0.0031394367103485324,0.03196666666666613,0.004300193794082548,20.54436707496643,0.0,1994.514511346817,190.43013578277854,2000.117095899582,190.41921623014193
6,5,40.0,0.9684973747812318,0.0021628367817919797,0.9685805164942746,0.0021397670055079577,0.9684973747812318,0.0021628367817919797,0.9684959363972101,0.002163292508083276,0.02399161197245121,0.001346804463057175,0.9947261237984109,0.0005034730967527142,0.025033333333332915,0.0017654083569153512,0.03797299549924924,0.003568195822997084,0.03797299549924924,0.003568195822997084,0.025033333333332915,0.0017654083569153512,19.532471179962158,0.0,2096.0121368408204,92.52325444592363,2101.4070188045503,92.5116305959789
7,5,40.0,0.9599799983331945,0.0025253617074048108,0.9600932237575028,0.0025159579145160997,0.9599799983331945,0.0025253617074048108,0.9599774994312918,0.0025257537029951386,0.030808976292610167,0.0022985018642909375,0.9887799605489803,0.0009393359355348999,0.03419999999999943,0.006418722614352378,0.04584097349558183,0.006391161697843137,0.04584097349558183,0.006391161697843137,0.03419999999999943,0.006418722614352378,19.70723009109497,0.0,2021.4835681438446,179.26591505576462,2026.4683876037598,179.34671828754765
8,5,40.0,0.9465955496291357,0.008196930525139682,0.947268306865975,0.007034951463042906,0.9465955496291357,0.008196930525139682,0.9465706613456847,0.00824227499303038,0.04190120846033096,0.005743172640558467,0.9857961438017447,0.0034476823592096135,0.06623333333333223,0.024577428669410883,0.04057342890481679,0.008902638504665453,0.04057342890481679,0.008902638504665453,0.06623333333333223,0.024577428669410883,18.235027074813843,0.0,1944.7682571411133,323.2552774075686,1949.7242594242095,323.2870796219588
