qubits,repeat,seed,accuracy,precision,recall,f1_score,mse,auc_roc_attack,far_benign,far_attack,md_benign,md_attack,val_best_accuracy,epochs_trained,n_features_selected,qpso_time_sec,training_time_sec,inference_time_sec,total_time_sec,memory_mb
4,0,4042,0.9533294441203434,0.9533407600887054,0.9533294441203434,0.9533291426540825,0.035524025559425354,0.9872521253542257,0.04416666666666593,0.049174862477078696,0.049174862477078696,0.04416666666666593,0.9549924731254578,32,40,80.18018865585327,2695.9776470661163,4.626522779464722,2701.177685022354,24.838237762451172
4,1,4043,0.9574964580381699,0.9576794901104297,0.9574964580381699,0.9574921711140308,0.032711707055568695,0.9874007612379843,0.03249999999999946,0.05250875145857555,0.05250875145857555,0.03249999999999946,0.9574095606803894,35,40,80.18018865585327,2208.788164138794,4.35328483581543,2213.5309686660767,24.838237762451172
4,2,4044,0.9570797566463872,0.9570797687489504,0.9570797566463872,0.9570797560501733,0.034161441028118134,0.9863405984330721,0.04283333333333262,0.0430071678613095,0.0430071678613095,0.04283333333333262,0.9572428464889526,34,40,80.18018865585327,2056.69114112854,4.920048713684082,2061.937863588333,24.838237762451172
4,3,4045,0.9595799649970831,0.9596214208060564,0.9595799649970831,0.9595790368440777,0.030047308653593063,0.9880701366894483,0.03566666666666607,0.04517419569928246,0.04517419569928246,0.03566666666666607,0.9570761919021606,35,40,80.18018865585327,1962.6372091770172,4.5217132568359375,1967.5264225006104,24.838237762451172
4,4,4046,0.9589132427702308,0.9593039372292496,0.9589132427702308,0.9589044514130952,0.03235887736082077,0.9871710423959548,0.02649999999999956,0.05567594599099757,0.05567594599099757,0.02649999999999956,0.9565761089324951,35,40,80.18018865585327,2158.543815612793,5.617650508880615,2164.4642775058746,24.838237762451172
5,0,5042,0.9608300691724311,0.9610023477666377,0.9608300691724311,0.9608263764399805,0.030819281935691833,0.9909599933322222,0.02949999999999951,0.048841473578929005,0.048841473578929005,0.02949999999999951,0.9580763578414917,35,40,20.54436707496643,1984.5707466602325,4.8991639614105225,1989.7816965579987,24.838237762451172
5,1,5043,0.9571630969247438,0.9572443509356952,0.9571630969247438,0.9571611688549262,0.03192475438117981,0.9912266488859255,0.03616666666666606,0.04950825137522838,0.04950825137522838,0.03616666666666606,0.9614102244377136,28,40,20.54436707496643,1698.940912246704,5.856844425201416,1705.1269669532776,24.838237762451172
5,2,5044,0.9599966663888657,0.960374961594842,0.9599966663888657,0.9599883970475882,0.028986286371946335,0.993058787575707,0.025666666666666237,0.054342390398398825,0.054342390398398825,0.025666666666666237,0.9579929709434509,35,40,20.54436707496643,2229.1772677898407,6.143749237060547,2235.6129858493805,24.838237762451172
5,3,5045,0.95941328444037,0.9594812707503025,0.95941328444037,0.9594117615631181,0.028625205159187317,0.993063260543424,0.03449999999999943,0.04667444574095605,0.04667444574095605,0.03449999999999943,0.958909809589386,35,40,20.54436707496643,2032.6912298202515,4.722571134567261,2037.8168392181396,24.838237762451172
5,4,5046,0.9596633052754396,0.9597370373957164,0.9596633052754396,0.9596616656962254,0.02984948456287384,0.9927902983830639,0.03399999999999943,0.04667444574095605,0.04667444574095605,0.03399999999999943,0.9627438187599182,35,40,20.54436707496643,2027.1924002170563,4.713493824005127,2032.2469909191132,24.838237762451172
