trial,lstm_units,attention_heads,dropout_rate,latent_dim,learning_rate,batch_size,num_features_to_select,qubits,feature_method,subsample_size,time_steps,n_features_selected,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_mse,epochs_trained
0,256,2,0.2,64,0.001,32,40,2,variance,80000,10,40,0.949324905872345,0.9464122010167514,0.9482195711701925,0.9464122010167514,0.9463579753943899,0.0420360341668129,35
1,128,8,0.2,64,0.002,128,40,2,variance,80000,10,40,0.935572624206543,0.9316609717476456,0.9326716421103948,0.9316609717476456,0.9316208919805394,0.05172305554151535,35
2,256,4,0.2,16,0.0005,32,40,2,variance,80000,10,40,0.9306551218032837,0.9245770480873406,0.9264628908460765,0.9245770480873406,0.9244933473652962,0.05217551812529564,35
3,256,8,0.2,64,0.0005,128,80,2,variance,80000,10,80,0.9299049973487854,0.9264938744895408,0.9289943819408876,0.9264938744895408,0.9263868592715855,0.05301264300942421,35
4,256,8,0.5,16,0.001,128,60,2,variance,80000,10,60,0.8994832634925842,0.8964080340028335,0.8964516595025848,0.8964080340028335,0.8964051328617609,0.07598390430212021,35
5,128,2,0.5,32,0.001,32,40,2,variance,80000,10,40,0.8876479268074036,0.8839069922493541,0.889405808016254,0.8839069922493541,0.8834950425461351,0.08849562704563141,35
6,192,2,0.2,32,0.0005,64,60,2,variance,80000,10,60,0.931405246257782,0.929827485623802,0.9298733338371128,0.929827485623802,0.9298255818245895,0.04793020710349083,35
7,256,4,0.2,64,0.001,128,40,2,variance,80000,10,40,0.8876479268074036,0.8844903741978498,0.8856996019286583,0.8844903741978498,0.884399458273748,0.07649947702884674,35
