latent_dim,lstm_hidden,lstm_layers,dropout,lr,batch_size,threshold_method,fold,accuracy,precision,recall,dr,f1,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,accuracy_pct,precision_pct,recall_pct,dr_pct,f1_pct,mre,recon_var,threshold,epochs,training_loss_curve_stability,train_recon_last,train_kl_last,train_total_last,val_recon_last,val_kl_last,val_total_last
16,64,3,0.4,0.001,128,percentile_95,0,0.4740592574071759,0.04,0.00225,0.00225,0.004260355029484962,0.05401350337584395,0.9977499999999998,0.14357839459864966,0.3290257045716964,3783.0,216.0,3991.0,9.0,47.40592574071759,4.0,0.22499999999999998,0.22499999999999998,0.4260355029484962,623.51953125,4122058.5,2310.4970703125,34.0,6.892407643240908,1031.179931640625,15.774211883544922,1046.953857421875,1135.6602783203125,14.715788841247559,1150.3760986328125
16,64,3,0.4,0.001,128,percentile_95,1,0.47561890472618157,0.06696428571428571,0.00375,0.00375,0.00710227272717229,0.05227613806903451,0.9962499999999997,0.1459771135567784,0.32931454974901136,3789.0,209.0,3985.0,15.0,47.56189047261816,6.696428571428571,0.375,0.375,0.710227272717229,670.4977416992188,10112204.0,2328.0166015625,47.0,6.856300265658143,1013.0575561523438,15.186758041381836,1028.244384765625,1029.0849609375,16.28626823425293,1045.37109375
16,64,3,0.4,0.001,128,percentile_95,2,0.47674418604651164,0.05314009661835749,0.00275,0.00275,0.005229379605325973,0.049024512256128056,0.9972499999999997,0.14659185842921463,0.3288897097889146,3802.0,196.0,3989.0,11.0,47.674418604651166,5.314009661835748,0.27499999999999997,0.27499999999999997,0.5229379605325972,643.958984375,6893501.5,2358.977294921875,30.0,7.4634835876477075,1045.8935546875,15.610925674438477,1061.5045166015625,902.3333740234375,16.375301361083984,918.708740234375
16,64,3,0.4,0.001,128,percentile_95,3,0.4769942485621405,0.057971014492753624,0.003,0.003,0.0057047777512732045,0.04877438719359679,0.9969999999999998,0.15015370185092547,0.33088402220651464,3803.0,195.0,3988.0,12.0,47.69942485621405,5.797101449275362,0.3,0.3,0.5704777751273205,707.7999267578125,14252578.0,2389.706787109375,34.0,7.316458261584134,1023.185546875,15.819413185119629,1039.005126953125,1016.6309204101562,15.272588729858398,1031.903564453125
16,64,3,0.4,0.001,128,percentile_95,4,0.4783695923980995,0.04736842105263158,0.00225,0.00225,0.0042959427206771435,0.04527263631815907,0.9977499999999998,0.15069597298649323,0.3303739392828451,3817.0,181.0,3991.0,9.0,47.83695923980995,4.736842105263158,0.22499999999999998,0.22499999999999998,0.42959427206771433,655.4725952148438,9750203.0,2348.911376953125,39.0,7.825439380930157,1029.3892822265625,16.179786682128906,1045.5692138671875,979.9954833984375,19.659908294677734,999.6553955078125
