trial,lstm_units,attention_heads,dropout_rate,latent_dim,learning_rate,batch_size,num_features_to_select,qubits,feature_method,subsample_size,time_steps,n_features_selected,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_mse,epochs_trained
0,256,2,0.2,64,0.001,32,20,2,variance,20000,10,20,0.5215215086936951,0.5126751167444963,0.5404709451072917,0.5126751167444963,0.4750568523787028,0.04729503020644188,15
1,128,8,0.2,64,0.002,128,20,2,variance,20000,10,20,0.4517851173877716,0.4513008672448299,0.43505399578455445,0.4513008672448299,0.3932293291729992,0.05243905261158943,15
2,256,4,0.2,16,0.0005,32,20,2,variance,20000,10,20,0.48782116174697876,0.4773182121414276,0.47163619588653877,0.4773182121414276,0.41917018660086885,0.04902522265911102,15
3,256,8,0.2,64,0.0005,128,20,2,variance,20000,10,20,0.25892558693885803,0.24683122081387593,0.2624156414505846,0.24683122081387593,0.20647386437280488,0.06729806214570999,15
4,128,4,0.4,16,0.0005,128,20,2,variance,20000,10,20,0.10343676805496216,0.0913942628418946,0.08497154223683039,0.0913942628418946,0.07673049600494487,0.0766579732298851,4
