aggregator,heterogeneity,dirichlet_alpha,accuracy,precision,recall,f1_score,auc_attack,time_sec
fedavg,non_iid_quantity,0.1,0.8688224018668222,0.8688264641797337,0.8688224018668222,0.8688220192005474,0.9256727093404455,668.3735971450806
scaffold_like,non_iid_quantity,0.1,0.556629719143262,0.5800835770390934,0.556629719143262,0.5215616887276459,0.6047121881424682,899.4746775627136
flame,non_iid_quantity,0.1,0.7060588382365197,0.7078611248139065,0.7060588382365197,0.7054183412057173,0.7736728343612824,1244.5484263896942
