latent_dim,lstm_hidden,lstm_layers,dropout,lr,batch_size,threshold_method,fold,accuracy,precision,recall,dr,f1,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,accuracy_pct,precision_pct,recall_pct,dr_pct,f1_pct,mre,recon_var,threshold,epochs,training_loss_curve_stability,train_recon_last,train_kl_last,train_total_last,val_recon_last,val_kl_last,val_total_last
32,128,1,0.0,0.0005,64,percentile_99.5,0,0.269,0.7083333333333334,0.002902014339364971,0.002902014339364971,0.005780346820801121,0.003267973856209149,0.9970979856606349,0.46901549398637343,0.7201293624434416,2135.0,7.0,5841.0,17.0,26.900000000000002,70.83333333333334,0.2902014339364971,0.2902014339364971,0.5780346820801121,669.5015258789062,25087174.0,9707.40234375,35.0,28.057237632216907,800.1954345703125,24.88615608215332,825.0816650390625,576.8436279296875,24.490869522094727,601.3345336914062
32,128,1,0.0,0.0005,64,percentile_99.5,1,0.2685,0.5510204081632653,0.004609868533378863,0.004609868533378863,0.009143244158466445,0.010265982267848806,0.995390131466621,0.4571360941767276,0.7120155963721598,2121.0,22.0,5830.0,27.0,26.85,55.10204081632652,0.4609868533378863,0.4609868533378863,0.9143244158466445,665.843017578125,29564596.0,6853.94970703125,31.0,15.642099107779558,667.3585815429688,25.655309677124023,693.0139770507812,1002.6278076171875,23.32089614868164,1025.9486083984375
32,128,1,0.0,0.0005,64,percentile_99.5,2,0.2694086760845106,0.6666666666666666,0.004439132661772239,0.004439132661772239,0.0088195386702718,0.0060690943043884196,0.9955608673382276,0.44633162581520003,0.7056660438628068,2129.0,13.0,5831.0,26.0,26.940867608451057,66.66666666666666,0.4439132661772239,0.4439132661772239,0.88195386702718,637.9966430664062,31185878.0,7110.97998046875,34.0,7.868631769581398,590.931640625,23.118959426879883,614.0506591796875,707.8613891601562,22.825510025024414,730.6869506835938
