latent_dim,lstm_hidden,lstm_layers,dropout,lr,batch_size,threshold_method,fold,accuracy,precision,recall,dr,f1,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,accuracy_pct,precision_pct,recall_pct,dr_pct,f1_pct,mre,recon_var,threshold,epochs,training_loss_curve_stability,train_recon_last,train_kl_last,train_total_last,val_recon_last,val_kl_last,val_total_last
16,64,2,0.0,0.0005,64,youden,0,0.283375,0.6675603217158177,0.04250597473540457,0.04250597473540457,0.07992296581596832,0.05788982259570492,0.9574940252645953,0.4234085064548182,0.691312053430289,2018.0,124.0,5609.0,249.0,28.3375,66.75603217158177,4.2505974735404575,4.2505974735404575,7.992296581596832,677.4820556640625,7725839.0,1499.5474853515625,25.0,13.910489691907744,879.7012939453125,5.855957508087158,885.5574340820312,632.7426147460938,5.864272594451904,638.6069946289062
16,64,2,0.0,0.0005,64,youden,1,0.282,0.706959706959707,0.032952023220078536,0.032952023220078536,0.06296900489387901,0.03733084461035929,0.9670479767799213,0.42075796051021896,0.6949866930685088,2063.0,80.0,5664.0,193.0,28.199999999999996,70.6959706959707,3.2952023220078535,3.2952023220078535,6.296900489387901,728.9120483398438,40597012.0,1722.9761962890625,24.0,17.740623166843672,836.1744995117188,7.759863376617432,843.9344482421875,882.9848022460938,7.664797782897949,890.6495361328125
16,64,2,0.0,0.0005,64,youden,2,0.7302162770346293,0.7319122257053291,0.9965852825678675,0.9965852825678675,0.8439849624055268,0.99813258636788,0.0034147174321324907,0.4532944929152584,0.7132546771799262,4.0,2138.0,20.0,5837.0,73.02162770346293,73.19122257053291,99.65852825678675,99.65852825678675,84.39849624055267,703.0652465820312,37377344.0,83.4566879272461,35.0,19.15851463183143,779.9364624023438,9.204285621643066,789.1407470703125,659.9368896484375,9.48353099822998,669.4203491210938
16,64,2,0.0,0.0005,64,percentile_99,0,0.272625,0.696969696969697,0.011778764083304883,0.011778764083304883,0.02316602316599048,0.014005602240896352,0.988221235916695,0.4429169699062053,0.7034779535132781,2112.0,30.0,5789.0,69.0,27.2625,69.6969696969697,1.1778764083304882,1.1778764083304882,2.316602316599048,655.7384033203125,15444234.0,4830.943359375,35.0,9.059359538019613,660.990966796875,11.982519149780273,672.9733276367188,1094.2464599609375,11.382064819335938,1105.6285400390625
16,64,2,0.0,0.0005,64,percentile_99,1,0.27125,0.6753246753246753,0.008878265323544477,0.008878265323544477,0.01752612066057432,0.011665888940737279,0.9911217346764554,0.4408836804312073,0.7056779273394955,2118.0,25.0,5805.0,52.0,27.125,67.53246753246754,0.8878265323544478,0.8878265323544478,1.752612066057432,778.3857421875,61830896.0,6529.2958984375,35.0,18.860469223894373,776.0332641601562,10.69707202911377,786.7304077148438,752.4112548828125,11.09410285949707,763.50537109375
16,64,2,0.0,0.0005,64,percentile_99,2,0.2696587073384173,0.6530612244897959,0.005463547891411986,0.005463547891411986,0.010836437521148462,0.007936507936507933,0.9945364521085879,0.4195178042761125,0.690388163638747,2125.0,17.0,5825.0,32.0,26.96587073384173,65.3061224489796,0.5463547891411986,0.5463547891411986,1.0836437521148463,618.76416015625,4222404.5,6670.34765625,21.0,16.343575735074623,912.838134765625,6.495894908905029,919.333984375,678.9927368164062,6.344873905181885,685.3375244140625
16,64,1,0.2,0.0005,128,youden,0,0.275125,0.664804469273743,0.020314100375554797,0.020314100375554797,0.039423554745677096,0.028011204481792704,0.9796858996244451,0.421800818882236,0.6924858844595758,2082.0,60.0,5739.0,119.0,27.5125,66.4804469273743,2.0314100375554798,2.0314100375554798,3.9423554745677096,728.8158569335938,40943468.0,2498.7529296875,35.0,4.394287442522792,876.24462890625,12.748129844665527,888.9928588867188,626.1923828125,13.353785514831543,639.5462036132812
16,64,1,0.2,0.0005,128,youden,1,0.284,0.7471264367816092,0.033293494963291786,0.033293494963291786,0.06374632232747635,0.030797946803546417,0.9667065050367081,0.42871155923279913,0.70060551518514,2077.0,66.0,5662.0,195.0,28.4,74.71264367816092,3.3293494963291788,3.3293494963291788,6.374632232747635,666.5673828125,6653945.0,1762.8916015625,35.0,4.297938047951508,873.3446044921875,12.736469268798828,886.0809936523438,684.134765625,16.05769920349121,700.1925048828125
16,64,1,0.2,0.0005,128,youden,2,0.28128516064508063,0.7125984251968503,0.030903192760799045,0.030903192760799045,0.05923744068065999,0.03408029878618112,0.9690968072392008,0.43661095990385224,0.7030506908641924,2069.0,73.0,5676.0,181.0,28.128516064508062,71.25984251968504,3.0903192760799043,3.0903192760799043,5.923744068065999,725.7835693359375,39488912.0,1778.2381591796875,35.0,2.878535378070938,777.0020141601562,13.319658279418945,790.3215942382812,702.04345703125,13.672131538391113,715.7154541015625
32,64,1,0.2,0.001,128,percentile_99,0,0.270125,0.6376811594202898,0.0075110959371799246,0.0075110959371799246,0.014847308925234285,0.01167133520074696,0.9924889040628199,0.45410332108261536,0.7083287401614682,2117.0,25.0,5814.0,44.0,27.0125,63.76811594202898,0.7511095937179925,0.7511095937179925,1.4847308925234286,678.4453735351562,31645520.0,6233.08935546875,35.0,2.9182260281579233,695.4402465820312,17.37289810180664,712.8130493164062,1071.837890625,17.84389877319336,1089.6817626953125
